[street];[city];[region];[zip];[tin];[phone]
ul. Stefczyka Franciszka;Walerów;ma³opolskie;99-235;214-48-88-983;389602575
ul. Wika-Czarnowskiego Anastazego;Czêstochowa;mazowieckie;60-480;261-74-23-430;608660924
ul. Olchowa;Rybnik;podlaskie;23-400;531-46-17-645;757335308
ul. Dekarzy;Warszawa;wielkopolskie;63-112;492-86-52-240;930731602
ul. Konwisarska;Inowroc³aw;mazowieckie;09-140;335-26-65-473;270396384
ul. Sielska;Trzcin;podlaskie;43-310;717-65-17-985;145102139
ul. Wyszkowska;Wi¹zownica;warmiñsko-mazurskie;23-212;603-72-29-831;524977844
ul. Wierzbowa;Jelenia Góra;lubelskie;71-612;368-45-16-680;804706429
ul. ¯eglarska;Piaskowiec;dolnoœl¹skie;71-711;276-12-59-847;293364798
ul. Emaliowa;Radom;wielkopolskie;89-530;762-86-84-556;501621872
ul. Rajców;Paliwodzizna;kujawsko-pomorskie;32-130;803-79-21-692;918946527
ul. Sosnowa;Kraków;wielkopolskie;33-314;575-29-72-6210;890345868
ul. Stawki;Poznañ;œwiêtokrzyskie;42-226;394-78-63-316;855473274
